CALLE;NUMERO;M2;DOLARES;U_S_M2;PESOS;PESOS_M2;AMBIENTES;ANTIGUEDAD;ORIENT;BAULERA;COCHERA;BAÑOS;LAVADERO;TERRAZA;BARRIO;COMUNA;LON;LAT
TRES DE FEBRERO;2500;85;163000;1917.6;;0.0;2;5;CONTRAFRENTE;;SI;2;SI;TERRAZA;BELGRANO;13;-58.455428665198362;-34.55565699680097
TRES DE FEBRERO;2700;42;95000;2261.9;;0.0;1;0;CONTRAFRENTE;;;;;;BELGRANO;13;-58.45694031362568;-34.553894647451102
TRES DE FEBRERO;2700;49;109000;2224.5;;0.0;1;0;;;;;;;BELGRANO;13;-58.45694031362568;-34.553894647451102
TRES DE FEBRERO;2700;50;115000;2300.0;;0.0;2;0;FRENTE;;SI;;;;BELGRANO;13;-58.45694031362568;-34.553894647451102
TRES DE FEBRERO;2700;55;155000;2818.2;;0.0;1;0;;;;;;;BELGRANO;13;-58.45694031362568;-34.553894647451102
TRES DE FEBRERO;2700;69;151000;2188.4;;0.0;2;0;FRENTE;;;2;;PATIO;BELGRANO;13;-58.45694031362568;-34.553894647451102
TRES DE FEBRERO;2700;71;150000;2112.7;;0.0;2;0;;;;1;;PATIO;BELGRANO;13;-58.45694031362568;-34.553894647451102
TRES DE FEBRERO;2700;75;222000;2960.0;;0.0;3;1;;;;;;;BELGRANO;13;-58.45694031362568;-34.553894647451102
TRES DE FEBRERO;2700;81;157000;1938.3;;0.0;2;0;FRENTE;;;2;;PATIO;BELGRANO;13;-58.45694031362568;-34.553894647451102
TRES DE FEBRERO;2700;98;298999;3051.0;1922564;19618.0;3;0;FRENTE;;SI;3;;BALCON TERRAZA;BELGRANO;13;-58.45694031362568;-34.553894647451102
TRES DE FEBRERO;2700;99;249000;2515.2;;0.0;3;0;FRENTE;;SI;2;SI;TERRAZA;BELGRANO;13;-58.45694031362568;-34.553894647451102
TRES DE FEBRERO;2700;111;229000;2063.1;;0.0;3;0;FRENTE;;;3;SI;BALCON;BELGRANO;13;-58.45694031362568;-34.553894647451102
TRES DE FEBRERO;2800;25;60000;2400.0;;0.0;0;35;CONTRAFRENTE;;;;;;BELGRANO;13;-58.457706767756591;-34.55300109035884
TRES DE FEBRERO;2900;85;230000;2705.9;;0.0;0;0;CONTRAFRENTE;;;;;;NUNEZ;13;-58.458331745977404;-34.551802587758317
TRES DE FEBRERO;2900;105;215000;2047.6;;0.0;3;4;CONTRAFRENTE;;SI;2;;;NUNEZ;13;-58.458331745977404;-34.551802587758317
TRES DE FEBRERO;2900;170;358000;2105.9;;0.0;3;0;FRENTE;;SI;2;SI;BALCON TERRAZA;NUNEZ;13;-58.458331745977404;-34.551802587758317
TRES DE FEBRERO;2914;85;240000;2823.5;;0.0;3;0;;;;;;;NUNEZ;13;-58.458459532780047;-34.551628562579687
TRES DE FEBRERO;3500;65;180000;2769.2;;0.0;0;3;FRENTE;SI;SI;;;BALCON;NUNEZ;13;-58.461911786055111;-34.546927321786477
TRES DE FEBRERO;3500;72;185000;2569.4;;0.0;0;10;FRENTE;;SI;;SI;BALCON;NUNEZ;13;-58.461911786055111;-34.546927321786477
TRES DE FEBRERO;3500;80;196000;2450.0;;0.0;3;4;FRENTE;SI;SI;2;SI;BALCON TERRAZA;NUNEZ;13;-58.461911786055111;-34.546927321786477
TRES DE FEBRERO;4100;63;205000;3254.0;;0.0;0;0;CONTRAFRENTE;;;;SI;;NUNEZ;13;-58.46524131272394;-34.542404384887277
TRES DE FEBRERO;4100;90;270000;3000.0;;0.0;0;0;CONTRAFRENTE;;;;;;NUNEZ;13;-58.46524131272394;-34.542404384887277
TRES DE FEBRERO;4500;56;120000;2142.9;;0.0;0;9;;;;1;;;NUNEZ;13;-58.46746038116369;-34.539401268793902
TRES DE FEBRERO;4800;29;68000;2344.8;;0.0;0;0;FRENTE;;;1;;BALCON;NUNEZ;13;-58.46917347053013;-34.537087596355285
ACASSUSO;5100;36;58000;1611.1;;0.0;2;45;LATERAL;;;1;;;VILLA LURO;10;-58.503037524560106;-34.63882847630461
ACASSUSO;7000;42;69000;1642.9;;0.0;2;40;INTERNO;;;1;;;LINIERS;9;-58.517734481378902;-34.652287502461448
ACEVEDO;100;57;139000;2438.6;;0.0;3;40;FRENTE;;;;;BALCON;VILLA CRESPO;15;-58.44393107334929;-34.600544619659161
ACEVEDO;100;86;190000;2209.3;;0.0;4;60;FRENTE;;;;;TERRAZA;VILLA CRESPO;15;-58.44393107334929;-34.600544619659161
