X;Y;STOP_ID;TIPO;CALLE;NUMERO;ENTRE1;ENTRE2;LINEAS;DIR_NORM;CALLE_NORM;ALTURA_NOR;COORDX;COORDY;METROBUS;STOP_NAME;STOP_DESC;FUENTE;VERIFICADA;FECHA_ULTI
-58,3909268883046;-34,6103029415;1001658;PARADAS DE POSTE;YRIGOYEN, HIPOLITO AV.;1752;ENTRE RIOS AV.;SOLIS;{151,90};YRIGOYEN, HIPOLITO AV. 1752;YRIGOYEN, HIPOLITO AV.;1752;106.637.951.373.000.000.000;102.101.745.169.000.000.000;F;;;RELEVAMIENTO2015;T;15/4/2015
-58,3974338746615;-34,6120042563;1001120;PARADAS DE POSTE;PASCO;212;MORENO;ALSINA, ADOLFO;{95};PASCO 212;PASCO;212;106.041.015.935.000.000.000;101.913.417.807.000.000.000;F;;;RELEVAMIENTO2015;T;16/4/2015
-58,4147840371517;-34,6130532206;6981;;;;;;{88};;;;104.449.656.250.000.000.000;101.797.945.312.500.000.000;F;;LINIERS VIRREY&&YRIGOYEN, HIPOLITO AV.;USIG;F;8/11/2016
-58,5297710906260;-34,6142024940;1004484;PARADAS CON REFUGIO;PAZ, GRAL. AV. COLECTORA;S/N;MORAN PEDRO;MOLIERE;{124};;;;93.903.610.224.712.000.000;101.669.450.976.785.000.000;F;;;RELEVAMIENTO2015;T;21/4/2015
-58,5093922677795;-34,6145035261;1004468;PARADA NO OFICIAL;BAIGORRIA;4689;;JUAREZ, BENITO;{109,124,47};BAIGORRIA 4689;BAIGORRIA;4689;95.772.660.390.399.900.000;101.637.110.466.000.000.000;F;;;RELEVAMIENTO2015;T;11/4/2015
-58,4867898044180;-34,6157108883;1004070;PARADAS DE POSTE;CAMARONES;3406;CERVANTES;LLAVALLOL;{47};CAMARONES 3406;CAMARONES;3406;97.845.659.584.499.900.000;101.503.900.901.000.000.000;F;;;RELEVAMIENTO2015;T;9/4/2015
-58,4186874784166;-34,6158736285;1001312;PARADAS CON REFUGIO;BELGRANO AV.;3710;CASTRO BARROS AV.;COLOMBRES;{103,2};BELGRANO AV. 3710;BELGRANO AV.;3710;104.091.512.424.999.000.000;101.485.230.673.000.000.000;F;;;RELEVAMIENTO2015;T;23/4/2015
-58,4056112327830;-34,6160066619;1001294;PARADAS DE POSTE;REPUBLICA BOLIVARIANA DE VENEZUELA;2795;;JUJUY AV.;{84,98};REPUBLICA BOLIVARIANA DE VENEZUELA 2795;REPUBLICA BOLIVARIANA DE VENEZUELA;2795;105.290.762.065.000.000.000;101.469.871.745.000.000.000;F;;;RELEVAMIENTO2015;T;29/12/2014
-58,4273193161481;-34,6167836313;1001485;PARADAS DE POSTE;MUÑIZ;274;QUITO;BELGRANO;{103};MUÑIZ 274;MUÑIZ;274;103.299.827.778.000.000.000;101.384.592.414.000.000.000;F;;;RELEVAMIENTO2015;T;17/4/2015
-58,3657655787324;-34,6169982798;1000064;PARADAS CON REFUGIO;MOREAU DE JUSTO, ALICIA AV.;1600;EYLE, PETRONA;EZCURRA, ENCARNACION;{111,20};MOREAU DE JUSTO, ALICIA AV. 1600;MOREAU DE JUSTO, ALICIA AV.;1600;108.945.004.332.000.000.000;101.357.077.681.000.000.000;F;;;RELEVAMIENTO2015;T;14/1/2015
