CALLE;NUMERO;M2;DOLARES;U_S_M2;AMBIENTES;ANTIGUEDAD;ORIENT;BAULERA;COCHERA;BAÑOS;LAVADERO;TERRAZA;BARRIO;COMUNA;LON;LAT
RIOBAMBA;400;100.0;205000;2050.0;3;60;;;;;;;BALVANERA;3;-58.394020334524072;-34.604480111826547
ALBERTI;4300;40.0;82000;2050.0;0;0;;;;;;;BALVANERA;3;-58.401162242429521;-34.614744360580808
RONDEAU;3300;36.0;73800;2050.0;1;0;;;;;;;PARQUE PATRICIOS;4;-58.410847969084777;-34.637168983063084
CANGALLO;100;38.0;77900;2050.0;1;0;;;;;;;CABALLITO;6;-58.43197266028659;-34.606620197068288
GASCON;500;70.0;143500;2050.0;3;0;;;;;;;ALMAGRO;5;-58.424715001958887;-34.605951217833599
CRAIG;800;40.0;82000;2050.0;3;0;;;;;;;CABALLITO;6;-58.434604253929777;-34.628128931607492
ROJAS;1500;40.0;82000;2050.0;2;0;;;;;;;VILLA CRESPO;15;-58.449731076463685;-34.604712766559715
RIO DE JANEIRO;700;40.0;82000;2050.0;2;0;;;;;;;CABALLITO;6;-58.430768067490305;-34.607074721006917
14 DE JULIO;800;40.0;82000;2050.0;2;0;;;;;;;VILLA ORTUZAR;15;-58.462170864292155;-34.584027310707128
NAON, ROMULO;3500;36.0;73800;2050.0;1;0;;;;;SI;;SAAVEDRA;12;-58.481630103682811;-34.556417251708737
HABANA;3500;40.0;82000;2050.0;0;0;;;;;;;VILLA DEVOTO;11;-58.507318797881091;-34.594267426185212
FITZ ROY;2200;40.0;82000;2050.0;0;0;;;;;SI;;PALERMO;14;-58.432092829815488;-34.580272753407478
AZURDUY JUANA;2400;61.0;125000;2049.2;0;0;;;;SI;;;NUÑEZ;13;-58.466840111773607;-34.55059230170545
MARECHAL, LEOPOLDO;10;122.0;250000;2049.2;3;35;;;;SI;;;CABALLITO;6;-58.438861092555975;-34.606439910770639
MONROE;1600;61.0;125000;2049.2;2;0;;;;;;;BELGRANO;13;-58.451996266025773;-34.553753817443202
ROSETI;2000;47.0;96300;2048.9;0;0;;;SI;SI;;;VILLA ORTUZAR;15;-58.469517854497653;-34.581730141680637
ALBARELLOS;3100;39.0;79900;2048.7;0;0;;;;SI;;;VILLA PUEYRREDON;12;-58.512564858898813;-34.579347956810736
DIRECTORIO;3700;39.0;79900;2048.7;2;0;;;;;SI;BALCON;PARQUE AVELLANEDA;9;-58.475956009540774;-34.639034375785585
CASEROS;400;144.0;295000;2048.6;6;99;;;;2;;BALCON;SAN TELMO;1;-58.371003453907271;-34.626652112922201
CORREA;2900;62.0;127000;2048.4;2;0;;;SI;;SI;BALCON TERRAZA;SAAVEDRA;12;-58.477207864562892;-34.545640788196373
USPALLATA;800;62.0;127000;2048.4;3;0;;;;2;;;BARRACAS;4;-58.374136770190589;-34.631881259601279
URUGUAY;900;145.0;297000;2048.3;5;100;;;;3;;;RECOLETA;2;-58.387121675507458;-34.598300969203748
COLPAYO;700;83.0;170000;2048.2;3;0;;;SI;2;;;CABALLITO;6;-58.443424626330128;-34.61237599432814
COLOMBRES;100;83.0;170000;2048.2;4;40;;;;SI;;BALCON;ALMAGRO;5;-58.419001444410355;-34.61274083343406
CONGRESO;4900;83.0;170000;2048.2;0;0;;;;2;SI;;VILLA URQUIZA;12;-58.48778982132729;-34.56864542439159
GUTIERREZ, JUAN MARIA;2500;100.0;204800;2048.0;4;50;;;;3;SI;SI;RECOLETA;2;-58.398047515148548;-34.587884447830497
AMENABAR;1900;73.0;149500;2047.9;3;0;;;;;;;BELGRANO;13;-58.45705035786672;-34.565140317360317
REGIMIENTO DE PATRICIOS;200;71.0;145400;2047.9;3;0;;;SI;2;;BALCON;BOCA;4;-58.370291366774687;-34.631708856731301
AGUERO;2000;105.0;215000;2047.6;3;60;;;;2;SI;SI;RECOLETA;2;-58.403178207615454;-34.588551239117891
CHARCAS;2700;63.0;129000;2047.6;3;0;;;;2;;;RECOLETA;2;-58.405176063650849;-34.594866466922333
LLAVALLOL;4500;42.0;86000;2047.6;2;0;;;;;;;VILLA DEVOTO;11;-58.507526887218262;-34.592009117340623
LA PLATA;100;63.0;129000;2047.6;3;0;;;;;;;ALMAGRO;5;-58.428847254934958;-34.616191358654412
RIVADAVIA;4500;63.0;129000;2047.6;3;0;;;;;;;ALMAGRO;5;-58.429159326960928;-34.615220488150761
VERA;800;34.0;69609;2047.3;0;0;;;;SI;;;VILLA CRESPO;15;-58.440323245629791;-34.596444714018261
VIAMONTE;1500;127.0;260000;2047.2;4;60;;;;3;SI;SI;SAN NICOLAS;1;-58.388059266850817;-34.600785948434456
ACHA, MARIANO, Gral.;1000;53.0;108500;2047.2;2;0;;;SI;SI;;BALCON;VILLA ORTUZAR;15;-58.472208939147713;-34.583804129567831
RIVADAVIA;6100;67.9;139000;2047.1;3;0;;;;;;;CABALLITO;6;-58.451883288938689;-34.624948642508642
SANTA FE;3300;170.0;348000;2047.1;5;0;;;;2;SI;PATIO;PALERMO;14;-58.41164164643309;-34.588183563513617
HOLMBERG;3200;86.0;176000;2046.5;4;20;;;SI;SI;;;VILLA URQUIZA;12;-58.48238846073351;-34.563077747265176
ECUADOR;900;43.0;88000;2046.5;2;0;;;;;;;BALVANERA;3;-58.406477318090744;-34.599649767345326
FOREST;1300;65.0;133000;2046.2;3;0;;;;SI;;;VILLA ORTUZAR;15;-58.461706984608888;-34.576951633493614
MURILLO;600;40.0;81840;2046.0;1;0;;;;;;;VILLA CRESPO;15;-58.442944178785304;-34.60159040218781
VIAMONTE;1500;131.0;268000;2045.8;4;45;;;;2;SI;SI;SAN NICOLAS;1;-58.388059266850817;-34.600785948434456
NOGOYA;4000;33.0;67500;2045.5;1;A ESTRENAR;;;;;;;VILLA DEVOTO;11;-58.502111139936339;-34.609120156641481
CORRIENTES;3900;33.0;67500;2045.5;1;A ESTRENAR;;;;;;;ALMAGRO;5;-58.419493153344426;-34.603460811843213
